Product,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,ProductID,Category,Manufacturing Price,Segment,Country,Year,Month Name,Discount Impact,Profit Margin,Month,Month_Name,Revenue Contribution (%),Discount Effectiveness,Cost-to-Sales Ratio (%)
Amarilla,Low,1778.0,350.0,622300.0,24892.0,597408.0,462280.0,135128.0,2013-01-12,12,6,Climate Control,260.0,Government,Canada,2013,December,0.041666666666666664,22.61904761904762,1,January,0.4864318177029579,5.428571428571429,77.38095238095238
Amarilla,,2750.0,350.0,962500.0,0.0,962500.0,715000.0,247500.0,2014-01-02,2,6,Climate Control,260.0,Government,France,2014,February,0.0,25.71428571428571,1,January,0.7523551736125614,,74.28571428571429
Amarilla,Medium,552.0,350.0,193200.0,9660.0,183540.0,143520.0,40020.0,2014-01-08,8,6,Climate Control,260.0,Government,Canada,2014,August,0.05263157894736842,21.804511278195488,1,January,0.15101820212150324,4.142857142857143,78.19548872180451
Amarilla,Medium,1228.0,350.0,429800.0,21490.0,408310.0,319280.0,89030.0,2013-01-10,10,6,Climate Control,260.0,Government,Canada,2013,October,0.05263157894736842,21.804511278195488,1,January,0.3359607829804456,4.142857142857143,78.19548872180451
Amarilla,Medium,1269.0,350.0,444150.0,39973.5,404176.5,329940.0,74236.5,2014-01-10,10,6,Climate Control,260.0,Government,Canada,2014,October,0.0989010989010989,18.367346938775512,1,January,0.34717771465976016,1.8571428571428572,81.63265306122449
Amarilla,Low,2966.0,350.0,1038100.0,20762.0,1017338.0,771160.0,246178.0,2013-01-10,10,6,Climate Control,260.0,Government,Germany,2013,October,0.02040816326530612,24.198250728862973,1,January,0.8114492527035845,11.857142857142858,75.80174927113703
Amarilla,Low,1865.0,350.0,652750.0,26110.0,626640.0,484900.0,141740.0,2014-01-02,2,6,Climate Control,260.0,Government,Mexico,2014,February,0.041666666666666664,22.61904761904762,1,January,0.5102335995590643,5.428571428571429,77.38095238095238
Amarilla,Low,1907.0,350.0,667450.0,26698.0,640752.0,495820.0,144932.0,2014-01-09,9,6,Climate Control,260.0,Government,Germany,2014,September,0.041666666666666664,22.61904761904762,1,January,0.5217241149378744,5.428571428571429,77.38095238095238
Amarilla,High,2240.0,350.0,784000.0,78400.0,705600.0,582400.0,123200.0,2014-01-02,2,6,Climate Control,260.0,Government,Canada,2014,February,0.1111111111111111,17.46031746031746,1,January,0.6128274868698682,1.5714285714285714,82.53968253968253
Amarilla,High,707.0,350.0,247450.0,24745.0,222705.0,183820.0,38885.0,2014-01-09,9,6,Climate Control,260.0,Government,Canada,2014,September,0.1111111111111111,17.46031746031746,1,January,0.19342367554330214,1.5714285714285714,82.53968253968253
Amarilla,Medium,1350.0,350.0,472500.0,23625.0,448875.0,351000.0,97875.0,2014-01-02,2,6,Climate Control,260.0,Government,Germany,2014,February,0.05263157894736842,21.804511278195488,1,January,0.36933799431889375,4.142857142857143,78.19548872180451
Amarilla,Medium,1118.0,20.0,22360.0,1565.2,20794.8,11180.0,9614.8,2014-01-11,11,6,Climate Control,260.0,Government,Canada,2014,November,0.07526881720430108,46.236559139784944,1,January,0.01747809005919675,6.142857142857142,53.76344086021505
Amarilla,Medium,708.0,20.0,14160.0,1132.8,13027.2,7080.0,5947.2,2014-01-06,6,6,Climate Control,260.0,Government,Canada,2014,June,0.08695652173913043,45.65217391304348,1,January,0.01106841481387415,5.25,54.347826086956516
Amarilla,Medium,1679.0,350.0,587650.0,35259.0,552391.0,436540.0,115851.0,2014-01-09,9,6,Climate Control,260.0,Government,Mexico,2014,September,0.06382978723404255,20.972644376899694,1,January,0.4593470314529057,3.2857142857142856,79.0273556231003
Amarilla,Medium,727.0,350.0,254450.0,15267.0,239183.0,189020.0,50163.0,2013-01-10,10,6,Climate Control,260.0,Government,USA,2013,October,0.06382978723404255,20.972644376899694,1,January,0.19889534953321167,3.2857142857142856,79.0273556231003
Amarilla,Medium,2076.0,350.0,726600.0,43596.0,683004.0,539760.0,143244.0,2013-01-10,10,6,Climate Control,260.0,Government,France,2013,October,0.06382978723404255,20.972644376899694,1,January,0.56795976015261,3.2857142857142856,79.0273556231003
Amarilla,Medium,2876.0,350.0,1006600.0,70462.0,936138.0,747760.0,188378.0,2014-01-09,9,6,Climate Control,260.0,Government,France,2014,September,0.07526881720430108,20.12288786482335,1,January,0.7868267197489915,2.673469387755102,79.87711213517666
