Segement_Country,Product,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,ProductID,Category,Manufacturing Price
Government-Canada,Amarilla,Low,1778.0,$350.,"$622,300.",24892.0,"$597,408.","$462,280.","$135,128.",12/1/2013,12,6,Climate Control, $260.00 
Government-France,Amarilla,,2750.0,$350.,"$962,500.",0.0,"$962,500.","$715,000.","$247,500.",2/1/2014,2,6,Climate Control, $260.00 
Government-Canada,Amarilla,Medium,552.0,$350.,"$193,200.",9660.0,"$183,540.","$143,520.","$40,020.",8/1/2014,8,6,Climate Control, $260.00 
Government-Canada,Amarilla,Medium,1228.0,$350.,"$429,800.",21490.0,"$408,310.","$319,280.","$89,030.",10/1/2013,10,6,Climate Control, $260.00 
Government-Canada,Amarilla,Medium,1269.0,$350.,"$444,150.",39973.5,"$404,176.5","$329,940.","$74,236.5",10/1/2014,10,6,Climate Control, $260.00 
Government-Germany,Amarilla,Low,2966.0,$350.,"$1,038,100.",20762.0,"$1,017,338.","$771,160.","$246,178.",10/1/2013,10,6,Climate Control, $260.00 
Government-Mexico,Amarilla,Low,1865.0,$350.,"$652,750.",26110.0,"$626,640.","$484,900.","$141,740.",2/1/2014,2,6,Climate Control, $260.00 
Government-Germany,Amarilla,Low,1907.0,$350.,"$667,450.",26698.0,"$640,752.","$495,820.","$144,932.",9/1/2014,9,6,Climate Control, $260.00 
Government-Canada,Amarilla,High,2240.0,$350.,"$784,000.",78400.0,"$705,600.","$582,400.","$123,200.",2/1/2014,2,6,Climate Control, $260.00 
Government-Canada,Amarilla,High,707.0,$350.,"$247,450.",24745.0,"$222,705.","$183,820.","$38,885.",9/1/2014,9,6,Climate Control, $260.00 
Government-Germany,Amarilla,Medium,1350.0,$350.,"$472,500.",23625.0,"$448,875.","$351,000.","$97,875.",2/1/2014,2,6,Climate Control, $260.00 
Government-Canada,Amarilla,Medium,1118.0,$20.,"$22,360.",1565.2,"$20,794.8","$11,180.","$9,614.8",11/1/2014,11,6,Climate Control, $260.00 
Government-Canada,Amarilla,Medium,708.0,$20.,"$14,160.",1132.8,"$13,027.2","$7,080.","$5,947.2",6/1/2014,6,6,Climate Control, $260.00 
Government-Mexico,Amarilla,Medium,1679.0,$350.,"$587,650.",35259.0,"$552,391.","$436,540.","$115,851.",9/1/2014,9,6,Climate Control, $260.00 
Government-USA,Amarilla,Medium,727.0,$350.,"$254,450.",15267.0,"$239,183.","$189,020.","$50,163.",10/1/2013,10,6,Climate Control, $260.00 
Government-France,Amarilla,Medium,2076.0,$350.,"$726,600.",43596.0,"$683,004.","$539,760.","$143,244.",10/1/2013,10,6,Climate Control, $260.00 
Government-France,Amarilla,Medium,2876.0,$350.,"$1,006,600.",70462.0,"$936,138.","$747,760.","$188,378.",9/1/2014,9,6,Climate Control, $260.00 
Government-Canada,Amarilla,Medium,1135.0,$7.,"$7,945.",556.15,"$7,388.85","$5,675.","$1,713.85",6/1/2014,6,6,Climate Control, $260.00 
Government-USA,Amarilla,Medium,2071.0,$350.,"$724,850.",65236.5,"$659,613.5","$538,460.","$121,153.5",9/1/2014,9,6,Climate Control, $260.00 
Government-Canada,Amarilla,High,2734.0,$7.,"$19,138.",2296.56,"$16,841.44","$13,670.","$3,171.44",10/1/2014,10,6,Climate Control, $260.00 
Small Business-Canada,Amarilla,Low,1916.0,$300.,"$574,800.",11496.0,"$563,304.","$479,000.","$84,304.",12/1/2014,12,6,Climate Control, $260.00 
Enterprise-Canada,Amarilla,Medium,1645.0,$125.,"$205,625.",14393.75,"$191,231.25","$197,400.","($6,168.75)",5/1/2014,5,6,Climate Control, $260.00 
Midmarket-Canada,Amarilla,Medium,1630.5,$15.,"$24,457.5",2201.175,"$22,256.325","$16,305.","$5,951.325",7/1/2014,7,6,Climate Control, $260.00 
Government-Mexico,Amarilla,High,344.0,$350.,"$120,400.",13244.0,"$107,156.","$89,440.","$17,716.",10/1/2013,10,6,Climate Control, $260.00 
Channel Partners-Canada,Amarilla,High,3520.5,$12.,"$42,246.",4224.6,"$38,021.4","$10,561.5","$27,459.9",4/1/2014,4,6,Climate Control, $260.00 
Government-USA,Amarilla,High,270.0,$350.,"$94,500.",11340.0,"$83,160.","$70,200.","$12,960.",2/1/2014,2,6,Climate Control, $260.00 
Channel Partners-Canada,Amarilla,High,2761.0,$12.,"$33,132.",3975.84,"$29,156.16","$8,283.","$20,873.16",9/1/2013,9,6,Climate Control, $260.00 
Enterprise-Canada,Amarilla,High,1659.0,$125.,"$207,375.",26958.75,"$180,416.25","$199,080.","($18,663.75)",1/1/2014,1,6,Climate Control, $260.00 
Small Business-Canada,Amarilla,High,888.0,$300.,"$266,400.",37296.0,"$229,104.","$222,000.","$7,104.",3/1/2014,3,6,Climate Control, $260.00 
Midmarket-Canada,Amarilla,High,1743.0,$15.,"$26,145.",3660.3,"$22,484.7","$17,430.","$5,054.7",10/1/2013,10,6,Climate Control, $260.00 
Government-France,Amarilla,,1899.0,$20.,"$37,980.",0.0,"$37,980.","$18,990.","$18,990.",6/1/2014,6,6,Climate Control, $260.00 
Government-USA,Amarilla,Low,1236.0,$20.,"$24,720.",494.4,"$24,225.6","$12,360.","$11,865.6",11/1/2014,11,6,Climate Control, $260.00 
Government-France,Amarilla,Low,941.0,$20.,"$18,820.",376.4,"$18,443.6","$9,410.","$9,033.6",11/1/2014,11,6,Climate Control, $260.00 
